end_rounds,n_players,result,winner,iter
4,3,set,C,673
5,3,set,B,674
10,3,set,C,675
15,3,set,B,676
2,3,set,A,677
9,3,set,B,678
5,3,set,A,679
6,3,set,C,680
12,3,set,C,681
11,3,set,B,682
7,3,set,A,683
11,3,set,B,684
4,3,set,C,685
9,3,set,C,686
8,3,set,C,687
3,3,set,A,688
5,3,set,A,689
3,3,set,C,690
6,3,set,A,691
2,3,set,C,692
10,3,set,B,693
4,3,set,C,694
13,3,set,B,695
10,3,set,A,696
5,3,set,A,697
10,3,set,A,698
34,3,tie,,699
11,3,set,A,700
15,3,set,A,701
12,3,set,A,702
6,3,set,B,703
5,3,set,B,704
11,3,set,B,705
12,3,set,A,706
9,3,set,C,707
11,3,tie,,708
9,3,tie,,709
9,3,set,A,710
2,3,set,C,711
5,3,set,A,712
6,3,set,C,713
3,3,set,B,714
7,3,set,B,715
7,3,set,C,716
15,3,set,B,717
5,3,set,C,718
11,3,set,B,719
4,3,set,A,720
5,3,set,A,721
13,3,set,A,722
26,3,set,B,723
16,3,set,C,724
13,3,tie,,725
11,3,set,A,726
18,3,set,C,727
5,3,set,A,728
3,3,set,B,729
5,3,set,A,730
10,3,set,C,731
3,3,set,A,732
3,3,set,C,733
5,3,set,C,734
8,3,set,B,735
14,3,set,C,736
12,3,set,A,737
18,3,set,A,738
3,3,set,C,739
6,3,set,B,740
19,3,set,B,741
11,3,set,B,742
8,3,tie,,743
9,3,set,A,744
4,3,set,A,745
10,3,set,C,746
17,3,set,C,747
47,3,tie,,748
31,3,set,C,749
5,3,set,B,750
13,3,set,B,751
6,3,set,A,752
5,3,set,C,753
3,3,set,B,754
4,3,set,A,755
6,3,set,A,756
5,3,set,B,757
14,3,set,C,758
12,3,set,A,759
4,3,set,A,760
27,3,set,B,761
18,3,set,C,762
4,3,tie,,763
4,3,set,B,764
4,3,set,C,765
13,3,set,C,766
7,3,set,A,767
5,3,set,B,768
19,3,set,A,769
11,3,set,C,770
9,3,set,A,771
17,3,set,B,772
6,3,tie,,773
3,3,set,C,774
5,3,set,C,775
2,3,tie,,776
19,3,set,B,777
8,3,set,C,778
6,3,set,A,779
2,3,set,B,780
11,3,set,C,781
3,3,set,C,782
14,3,tie,,783
7,3,set,B,784
23,3,tie,,785
4,3,set,B,786
34,3,set,C,787
35,3,set,C,788
